"replicate","b1_unc","b2_unc","mu_unc","b1_mle","b2_mle","mu_mle","b1_qmle","b2_qmle","mu_qmle","n_tries"
1,1.02194626530545,3.66091237107289,0.997343483782773,0.963235493627024,3.89946755147231,1.0047130112599,0.94085945953266,3.99639429634195,1.00681899283812,699
2,1.04786358086331,3.50115034807651,0.99816907300703,0.985358161446083,3.7693380180425,1.00475607579191,0.984210985164426,3.7693502456241,1.00514738729033,1462
3,1.0864042953649,3.2184871600891,0.995882750073308,1.03175424584411,3.46043712378719,1.00081545110102,1.03136116752066,3.46044608077181,1.00118826813119,685
4,1.01436599294751,3.68357410994579,0.99024872206024,0.957177169455686,3.91118937979669,0.996660712594283,0.95855336589221,3.91113432818997,0.996169787210957,16
5,1.08400592334151,3.42654860771784,1.00220124638874,1.05145681907459,3.56003470431793,1.00565765954935,1.05201495057474,3.5600545037255,1.00500200618998,383
6,1.05352026029456,3.51201470241445,0.995607244914796,1.00300219405552,3.72246607257193,1.00062124665247,1.00332996254896,3.7224837461668,1.00022542948907,280
7,1.02959982357825,3.6360261788242,0.993162492507591,0.967685563501866,3.89330147667224,0.999120614200442,0.967558650255168,3.89330331897451,0.999235076482951,1597
8,1.0483210102141,3.52401184859918,0.996908826269556,0.989605587347493,3.77579883921014,1.0028102352132,0.988388398314755,3.77579567290572,1.00324604391874,673
9,1.06422344845139,3.45380037331381,0.998544238573245,1.01506630211166,3.66128955416285,1.00352839415718,1.01536550703766,3.66130527644881,1.00316694352414,168
10,1.09603032751341,3.32061348606256,0.990093982860407,1.07465022517381,3.40668074849917,0.992449071289468,1.07522030897637,3.40669634861051,0.991776119945998,1568
11,1.06144566940461,3.46783167807727,1.00012016665875,1.01917863962701,3.6431231545198,1.00483396046711,1.00443643312548,3.70909475974758,1.00590552941452,696
12,1.00393188969677,3.7983970124596,0.989413988129711,0.949956575208629,4.01516308590083,0.995190108005332,0.935884456800547,4.07425230175879,0.996386977962151,1617
13,1.08080211293304,3.30794413894856,0.994974914858525,1.03229671861698,3.51889395456255,0.9991398032715,1.03191107495037,3.51888585300796,0.999565242673961,1130
14,1.08557257361503,3.27085939029507,1.00081228164999,1.04218784262854,3.45476792366709,1.0058308411405,1.04268417500015,3.45477647102717,1.00528550177874,214
15,1.06626724662498,3.47674298810542,0.989895393414854,1.03835152225596,3.58497819836231,0.992670623231092,1.03971955009783,3.5849222217625,0.992263361502968,1257
16,1.04884418287484,3.58272978936913,0.994180942825134,1.00028141410471,3.7839873920314,0.998688284271062,1.00071292876368,3.78402277291641,0.998120203253478,312
17,1.0665906123496,3.43144512369268,0.999939707204105,1.01803388740725,3.63664637122318,1.00497677501881,1.01808492777355,3.63663619667307,1.00496068986071,508
18,1.03446848054901,3.59979992259757,0.999101064552239,0.956645050905069,3.93194691564715,1.00686466638359,0.955514012343194,3.93211918908656,1.00706839600492,941
19,1.04063933985154,3.57306007039424,1.00027385045082,0.969180047612479,3.87620578156998,1.00751140205619,0.994077483942746,3.76391569947833,1.00577360784164,340
20,1.05743204166461,3.49313918652546,0.995255186138756,1.01414889484865,3.67214086231076,0.9997841204873,1.01455410082487,3.67214553232723,0.999354324965057,139
21,1.08412926314177,3.36700987352113,0.996987269599979,1.03511951307851,3.57903357388514,1.00061828221344,1.03479821320708,3.57904619677613,1.00090407619962,54
22,1.08562443192027,3.37165728753214,1.00000024693384,1.03689153869831,3.58135552698989,1.00379200857159,1.05857708274572,3.48323878464142,1.00268145027195,501
23,1.02699367030014,3.65387033307806,0.99973808479989,0.962385471861203,3.92119211283124,1.00681884421673,0.962022341848676,3.92115221917799,1.00731977291949,329
24,1.06624268981988,3.41434041621057,0.993148848818864,1.03062213651286,3.55598265424685,0.996919905793579,1.03219079958569,3.55593063597406,0.996421209161366,707
25,1.0587612844941,3.54188802677214,0.995263287196138,1.02449249726688,3.68032881858786,0.998925183135389,1.02490775244558,3.68031841524811,0.998535998222723,269
26,1.04353956552986,3.58497197921098,0.997982000792165,0.98049425357164,3.85496588920031,1.00392980488221,0.979217445181413,3.85499922461401,1.00432480158029,1245
27,1.0588452469356,3.53719045076901,0.999073411768021,1.0201459565678,3.69613479568625,1.00299537666183,1.00320937585323,3.77146556300488,1.004025739239,284
28,1.05972305884959,3.43743336755621,0.989368194188739,1.00523129323311,3.67027193725282,0.993675617455396,1.00523917424828,3.67028025565786,0.993636661798771,372
29,1.03534739680448,3.591425897766,0.988704286220154,0.956986284544051,3.92315741918383,0.994422958701934,1.0067467604265,3.70520489127341,0.99167263214103,15
30,1.07666544371307,3.39262787612963,0.997518014613791,1.03609097183307,3.5633734590448,1.00148321735006,1.03629883755182,3.56337368793967,1.00126601776466,587
31,1.08839178907248,3.39174800099691,0.998195737031632,1.05600571656542,3.52614194193126,1.00139960107465,1.05653692736605,3.5261674746556,1.00074752423612,2126
32,1.05730542597552,3.50257551678335,1.00237544766673,0.982364704825464,3.8231608959659,1.00908828628703,1.00352942186988,3.72980568510794,1.00753252996399,1273
33,1.02893772383753,3.63440762204553,0.989165541033005,0.974450976128698,3.85988547632907,0.994078349315669,0.974119755878121,3.8598545675638,0.994521442517746,2576
34,1.07528230444527,3.31774461287699,0.988187051080467,1.03022125991269,3.51526877136654,0.99186312444421,1.02910230359329,3.51529143624677,0.992243830871328,1891
35,1.03946064438868,3.62864371733787,0.996420621868088,0.995009903063955,3.80856687540019,1.00123905782493,0.995268518216865,3.80853609108383,1.00109778544119,256
36,1.03082528735722,3.59386808592609,0.995045466914048,0.95871500410092,3.89655658011279,1.00247081401901,0.958852770822579,3.89658973004344,1.00220893876677,1516
37,1.07651988359322,3.42989396233266,0.989067621850589,1.04715907688027,3.55125049848425,0.9914816896705,1.04725205219684,3.55124519541337,0.99140113828462,172
38,1.05618860593299,3.48801096335063,0.99169126034205,1.01695720020877,3.64936464514161,0.995859280726368,1.01746635965919,3.64937616895462,0.995295231843794,251
39,1.07924180908043,3.38110566191033,1.00076816451633,1.04094360782583,3.53594292693854,1.00486439556177,1.0425565689902,3.5359082773858,1.00431326790095,782
40,1.03076483580385,3.69758471860565,0.993657314015785,0.986873967863759,3.87462530226831,0.997885513657993,0.963966537393309,3.97420812881745,0.999236234653973,698
41,1.009558151309,3.73937518096373,0.995283853327269,0.952712886956073,3.96611787781427,1.00275109743246,0.907146965845865,4.16185790912392,1.00711171379458,254
42,1.04317327641702,3.63353774093453,0.997360639981496,0.999279360054028,3.81286895702044,1.00195422454053,0.979628221529633,3.89834519765389,1.00339361556676,992
43,1.09362115810076,3.42669812441664,0.985670159464534,1.05991431009063,3.57076348715168,0.986918633202176,1.05937273308394,3.57075658942092,0.987523203751157,267
44,1.06971175225725,3.4939837424891,0.988042511496336,1.03664775406249,3.63136709152397,0.990467750422533,1.03663368407968,3.63136582785055,0.990485758315648,158
45,1.05434369073699,3.56416579540526,1.00007602619804,1.00881902683057,3.74787420725681,1.00468915776339,1.01012908995204,3.74785182592356,1.00425954034712,58
46,1.07447345697435,3.50269165244009,0.994693305854143,1.02010445248384,3.73573668150638,0.997693979696155,1.01967522931892,3.73577471029979,0.997988842900627,358
47,1.00080418231764,3.80295580048777,0.992710596998388,0.900204523678793,4.21566862037796,1.00172009962486,0.939480149794729,4.05012043536072,0.99873043691902,821
48,1.04603022734918,3.48338754379476,0.991526885296726,0.970306933326716,3.80731021123859,0.997861861207116,0.998113729933222,3.68475194937832,0.995973090789357,602
49,1.06441034089762,3.45195515393268,0.991355355509704,1.02389005634969,3.62224883529131,0.994716553589249,1.0238940435048,3.6222511057194,0.994703920038896,130
50,1.04849625035674,3.51905744066747,0.988713390125224,0.999775199641588,3.72441149227337,0.992719743100905,0.999335732868987,3.72438609114771,0.99325585629137,47
51,1.08483947298355,3.40703626788491,0.989513480481095,1.06259541293052,3.49563066172766,0.991989176745124,1.06327930624601,3.49565580462551,0.991165507890813,611
52,1.09525664878929,3.25335242328915,0.999561157594233,1.05168827670521,3.44169013162443,1.00358166083101,1.05172872747283,3.44169432060161,1.00352370152962,1460
53,1.03868297002047,3.66431584770268,0.995192755791262,0.99358457898647,3.84780792820843,0.999545156354736,0.993752784713362,3.84779460686182,0.999427876819576,54
54,1.08264707531221,3.40766284056062,0.994494576725201,1.05037034062689,3.54192882175503,0.997332380338417,1.0505422872605,3.54192692770848,0.997156655803168,376
55,1.06059912509221,3.43863391558749,0.993707514308232,1.01628697457682,3.62435059368565,0.998216658237427,1.01641291786596,3.6243396018264,0.998127077346705,142
