"replicate","b1_mle","b2_mle","mu_mle","n_tries"
1,1.00771535738948,3.68867874214926,1.00247025308851,699
2,1.00362633817277,3.6804331898671,1.00394729839251,1462
3,0.996274701697183,3.62932432969278,1.00264548373166,685
4,1.00831457925384,3.67911734409467,0.994410457794323,16
5,1.0196952484825,3.70808866266162,1.00615644011503,383
6,1.003333424554,3.71966754616443,1.00060267421778,280
7,1.0126474159796,3.68705870267748,0.997331435776853,1597
8,1.00971865984539,3.67956275205586,1.00209878933902,673
9,1.0125709870169,3.67082906287138,1.00339919014627,168
10,1.01119973607776,3.70007204138948,0.993687305691581,1568
11,1.00914914477738,3.68973147943756,1.00567500690877,696
12,1.01408829761021,3.71968571476378,0.992661284514652,1617
13,1.0010652548039,3.66623111497863,1.00070407356643,1130
14,1.00012180094118,3.65789329054775,1.00750198931567,214
15,1.01172859573558,3.70986385551697,0.993644571615319,1257
16,1.01318841055815,3.72724208802051,0.998107243218914,312
17,1.00077645497039,3.71761298865987,1.00547586177589,508
18,1.00559322160387,3.70467538196843,1.00403293718458,941
19,1.00064545979994,3.72945915617624,1.00596297124221,340
20,1.01367745822312,3.67318206402752,0.999718011463112,139
21,1.00564295580216,3.716095325777,1.0017661995476,54
22,1.02058090712505,3.65642273777578,1.00431706530767,501
23,1.01366930487146,3.67992948969844,1.00432739091395,329
24,1.00954519615943,3.65945404634466,0.997649137433761,707
25,1.02082597424966,3.69631480554513,0.998930380288405,269
26,1.00990563071626,3.71377312671207,1.00253700839399,1245
27,1.0110563670998,3.73907771216096,1.00346306843469,284
28,1.00753387563293,3.66010164376816,0.994007035123355,372
29,1.01231822322959,3.67283154708567,0.992025797262063,15
30,1.00556269749318,3.70780371479764,1.00280349033954,587
31,1.01571845840938,3.71386294680024,1.00214510791936,2126
32,1.00926610387534,3.69875222721574,1.00793466960116,1273
33,1.01245914795458,3.68414191618518,0.992664463446588,2576
34,0.992584389435003,3.69336247782131,0.993444833740015,1891
35,1.0254568563106,3.66804384937672,1.00010496373732,256
36,1.01297318038677,3.64138735037357,0.999778905913499,1516
37,1.01728921906648,3.69239354744799,0.99203898192402,172
38,1.00182997318415,3.72005728016445,0.99582194928998,251
39,1.00550927788917,3.70761476776883,1.00622075365498,782
40,1.02519298668973,3.69821375538537,0.996442143341295,698
41,1.00837025300115,3.70324851067569,1.00008157336533,254
42,1.02437494833228,3.6973841490273,1.00084974504915,992
43,1.02273429482251,3.73786902294489,0.98797188230966,267
44,1.01875269467259,3.71235093395729,0.990894083064059,158
45,1.00984784669574,3.74541430163412,1.00470283162997,58
46,1.02610998529004,3.70797354266333,0.997447014111101,358
47,1.01499993338052,3.7040479860858,0.996194161130195,821
48,1.00702412953485,3.64037918081248,0.996196180363104,602
49,1.00983199072786,3.68533619339437,0.995212702371071,130
50,1.00168447949618,3.7188775078162,0.992910773873442,47
51,1.01367203736698,3.71817777029986,0.992642178665473,611
52,0.9953546623319,3.70848038844802,1.00596124389882,1460
53,1.01808543661606,3.73648352979458,0.998848203240872,54
54,1.01516464072356,3.70601513007344,0.998073014855094,376
55,1.00018124697884,3.70066732255959,0.998582029755783,142
56,1.00783471922887,3.74126848600571,1.00243083154112,65
57,1.01146271920518,3.61035594469686,1.01357590965614,602
58,1.00460881036094,3.70106358144894,1.01465368447032,382
59,1.01551655763435,3.69116802174097,0.998192261876743,1331
60,1.00901976503537,3.67532409723815,1.00560357932893,910
61,1.0105944950349,3.67423223269781,0.998668961744513,1120
62,1.01742047187172,3.66397594729019,0.987747518935091,17
63,1.01632308077418,3.73870155924993,0.996701261730771,49
64,1.01386565593658,3.74679142985447,1.00176444625781,279
65,1.00956133260421,3.63837674678078,1.00131953900322,84
66,1.02348203147094,3.68501675969185,1.00277988728375,1006
67,1.00531598654131,3.6838207028749,1.00215406282041,1401
68,1.02045635236339,3.66482505737695,0.997032146241063,2016
69,1.02528061569714,3.73617078236294,1.00449745419595,514
70,1.01433857670349,3.71127521745325,1.00153291930551,217
71,0.998171783147048,3.72072158409933,0.996996283101385,519
72,1.00007040947414,3.69004642823437,1.0035079131187,875
73,1.01170518623072,3.71619516998936,1.00127964451307,587
74,1.00579252983798,3.71681894733232,0.995443997350768,117
75,1.0293738393655,3.68026678859896,1.0033331815409,867
76,1.01007722841921,3.63638100363591,1.00212824586168,635
77,1.03048584736608,3.66573048918637,1.00229214539167,940
78,0.996981597714738,3.67383843202435,1.01240564831711,445
79,1.00143822645591,3.63313515040856,0.988638909957545,320
80,1.020746839468,3.7466493923221,0.99526231991407,334
81,1.01467100110616,3.69090750309151,1.00331650693152,355
82,1.00552397727385,3.66527042780586,1.00359563360711,1090
83,1.00921428930666,3.72990071762862,1.00845708522734,946
84,1.00339568046225,3.70379048646628,0.999288874393892,260
85,1.00252361299226,3.72105917358682,1.00011117550559,839
86,1.00987735920591,3.71022404707161,0.9894246602231,1417
87,1.00968891371055,3.67253121899343,1.00705329098741,907
