"replicate","b1_unc","b2_unc","mu_unc","b1_mle","b2_mle","mu_mle","b1_qmle","b2_qmle","mu_qmle","n_tries"
1,1.04717616061331,3.52127420079263,1.00330727493032,0.998682302946768,3.71943717579812,1.00988217301826,0.970189830251855,3.84662924600938,1.01249190067075,21
2,1.02705396982909,3.55016149589547,0.997813635202941,0.959678603122975,3.82794031679811,1.00721226522937,0.925537970943005,3.97959787837655,1.01073367867007,300
3,1.07017715230059,3.44425536935626,0.999653843329113,1.02474446382495,3.63507681496076,1.00416379438824,1.02497378781373,3.63508350478772,1.00390444655269,93
4,1.05252015225641,3.54517721913818,1.00061321119458,1.00556236352823,3.73872754960362,1.00599048737539,0.97592887349455,3.87034592025721,1.00827380530026,126
5,1.0662188850224,3.40586456656411,0.98386803482882,1.04215103359784,3.50361838533811,0.986313432549326,1.02943929903766,3.55926755211483,0.987120164935057,338
6,1.04582695181569,3.58092691970306,0.991955908113083,1.00215709356287,3.76066553824811,0.996159450946503,0.984386792898391,3.83859097839324,0.997301542805939,197
7,1.07149155402563,3.45665264699698,0.999633401448203,1.03415701991868,3.61221028424731,1.0036527280221,1.02307798782109,3.66057769405765,1.00457786839828,132
8,1.0699544363354,3.44146506227434,0.994856671407179,1.03201176118167,3.60027696358678,0.998525703602955,1.01620912964513,3.67095730714072,0.999515404401884,11
9,1.07239679022053,3.34809989590727,0.993575992835778,1.00139777718213,3.65986502075821,0.99905126947579,1.0010769018215,3.65991885147777,0.999174619978713,219
10,1.05211917892157,3.52903645309029,0.990230059084876,1.00940082200596,3.70759137826756,0.993874860865527,1.00904750327745,3.7075578467992,0.994357386545741,294
11,1.14295584258222,2.99167676405222,0.995598366520081,1.1180855832491,3.1003601312461,0.997616370384702,1.11816766123659,3.10036622617959,0.997504442134993,126
12,1.02784336693576,3.58246590663722,0.997105136515996,0.974165081811811,3.7995549754596,1.00499074955306,0.936365820147677,3.96529808232223,1.00906584621062,1
13,1.08128080732797,3.38180921721723,0.99664349684984,1.03132713712691,3.59645248455821,1.00042735141029,1.05166510244723,3.50513590577213,0.999360348075777,64
14,1.04768755648367,3.56089173002595,1.00029451992905,1.00134515437713,3.75060899438673,1.00603728597455,0.971325120186164,3.88331313131351,1.00861091619066,157
15,1.1339718126898,3.14239477185405,1.01030006531676,1.10398338710869,3.27170771153192,1.01324619008269,1.10415177895481,3.27170807172558,1.01306055254996,328
16,1.06153781770724,3.42221273416213,1.00041412241926,1.01508261269588,3.61709749194119,1.00636038298368,0.999073515240804,3.68852747807248,1.00790755833458,269
17,1.05664045156122,3.49170902750346,0.98980995206143,1.01804551565828,3.65085430703722,0.993562303447924,0.98617368130225,3.79202427040244,0.995506830359597,118
18,1.03486714610429,3.61193152426259,0.987106271516087,0.990459340373137,3.79427557073244,0.991246035318662,0.99051830904101,3.79426029899613,0.991244501161229,66
19,1.05522195524912,3.48305897971956,1.00012237179991,1.0060580143499,3.68420823364194,1.00580603607915,1.00718009649271,3.68416467253396,1.0053568034253,205
20,1.07152816909273,3.4726555717272,1.00048766724357,1.02419623228309,3.67257966868437,1.00475001391005,1.024328943173,3.67259249731384,1.00456679137778,202
21,1.06213696775505,3.5050038022045,0.99185683720654,1.01475005228522,3.70603926085336,0.99539267918772,1.0144497974206,3.70603579429193,0.995710445285095,211
22,1.05328239770965,3.46441174588588,1.00595807369021,0.997824697111869,3.69551749959518,1.01366346691038,0.979921977543395,3.77526589653413,1.0155523958629,121
23,1.07914317353741,3.36829274167194,1.00105155534604,1.0244453392414,3.60496777650086,1.00591180472142,1.04426821632973,3.51426943200082,1.00473524308076,145
24,1.05625183548363,3.45483064630519,0.99526808752142,1.01409302930803,3.62928176541114,1.00023639937732,0.990697450888848,3.73358688489713,1.00211159437222,157
25,1.04254564129465,3.59806291605613,0.999159568644391,0.982835260682374,3.85014837404821,1.00519028633735,0.981859368537771,3.85012311964301,1.00560315254154,94
26,1.0402745839932,3.67382806149131,1.00075684206555,0.986238017334246,3.89689334373675,1.00605151971447,0.986339157715083,3.89689063073076,1.00596185121703,177
27,1.02660621063177,3.65390919628719,1.00033157995513,0.971071969809178,3.87851399836286,1.00796762001846,0.927759950131291,4.06748961754416,1.01233559011714,22
28,1.05404276440153,3.56271336195645,1.00209730130122,1.00419447714526,3.7699313333791,1.00725435490734,1.00410653190192,3.76990424619543,1.00744239822137,235
29,1.07352701769342,3.41655001596368,0.986534136748155,1.04305529854207,3.54315734988106,0.989134192490116,1.02541991796769,3.62146497009819,0.990038325573886,401
30,0.983108585989883,3.87418611451864,0.99634729024248,0.908398063687664,4.16832178113792,1.00689357817515,0.868884597887937,4.33276449533157,1.01146391492517,71
31,1.04148116523343,3.589351750033,0.994670546984436,0.971453074896196,3.88917278168284,1.0006968975642,0.970380752249277,3.88926401013908,1.00101672082385,67
32,1.06250605691731,3.51135999503292,1.00191671743097,1.01417009683054,3.71324349595372,1.00694704977502,0.98662422146807,3.83749654896555,1.00873649990696,763
33,0.993982320391035,3.868230418014,0.994101284547012,0.923496801387363,4.15532376435284,1.00151446062648,0.922281144669992,4.15526322851248,1.00203710651635,125
