"replicate","b1_mle","b2_mle","mu_mle","n_tries"
1,1.03056655750128,3.71695711704634,0.992825938038083,3
2,0.995810425085231,3.50305862838628,0.991119503053307,1
3,1.0070720322209,3.67636148263188,0.994870097013985,7
4,1.04642914122171,3.77645545999961,1.0105503728652,9
5,1.01258680831379,3.7101771714344,1.00950461392993,2
6,1.0014333344242,3.81143543030433,1.00131150848124,1
7,0.980333733897329,3.58202925343576,0.985530139012982,12
8,1.00289496709183,3.7317943757656,1.00473833023501,1
9,0.996664780181809,3.5752997242564,1.00270386118738,19
10,1.01378706104887,3.67215680093775,0.995619755362062,2
11,1.02036721998013,3.67824169592518,1.0111883509419,3
12,1.02455484280327,3.7479782140887,1.01284623572723,3
13,1.0073720582956,3.68598360097465,1.03274031166856,8
14,1.01622987098673,3.5764677784826,1.002134773142,20
15,1.00212126309888,3.72782589539176,1.01518873797999,4
16,0.986354430913935,3.80014330019101,1.01903584604173,1
17,1.03582818891049,3.60300957800366,0.990546885057662,4
18,1.00890774317731,3.72376019056919,1.00124889732972,2
19,1.01879929518753,3.61517900042319,1.0058445468854,4
20,1.01956245575552,3.79621179163437,1.01626561876567,18
21,1.01933088513737,3.62470397177973,0.995795106438683,5
22,0.98194711255715,3.6789323449674,0.993578899979357,2
23,1.01557068186616,3.73816903231204,0.986226515786444,3
24,1.01078056464239,3.78050575489085,1.00567570605824,3
25,0.997469860038568,3.69069710906829,0.993792804190935,1
26,1.04285310830426,3.79378830113417,1.00710482510788,1
27,1.03563248107891,3.63972880498748,0.994996512138288,3
28,0.985055158406842,3.69648478972827,1.01283191659352,6
29,1.02827516260359,3.72186246384546,1.0134161140142,8
30,1.01758368285483,3.73982806555419,0.976809304614424,4
31,1.04359978168271,3.62748320181014,1.02658017672454,12
32,1.01975391409587,3.74450317196352,1.01092824793674,1
33,1.03222118470845,3.56780178293595,1.01462552742634,1
34,1.00026004602507,3.70680492288176,0.999500081859374,2
35,1.02495430031427,3.71217077426003,0.994215394092476,3
36,1.01735093840349,3.77686829716425,0.998820108754639,9
37,1.04660077934032,3.6305600818057,1.00470605309664,9
38,1.02367378003999,3.67330492675585,1.0031319381704,11
39,1.00241419203825,3.55206616172759,1.00297682584759,3
40,1.02077676679077,3.67647422016879,0.996336238247699,1
41,0.996479377979076,3.63560757441386,0.992253889868455,12
42,1.02407139569205,3.65862080363661,0.99411890312647,1
43,0.982598030021504,3.72070251610009,1.00239513360517,3
44,0.991736332110295,3.59287000943573,1.00323482836823,7
45,1.02994861666403,3.64175099660793,0.993580557565741,1
46,1.01681693791702,3.57367172585655,1.02988597398626,11
47,0.994051307677453,3.80000774700967,1.005263088327,2
48,1.01617740419996,3.76059291265968,0.994742194388114,2
49,1.02150362338098,3.67973150554626,1.00392124217868,1
