"replicate","b1_unc","b2_unc","mu_unc","n_tries"
1,1.01364958412463,3.70358195826656,0.997343483782773,699
2,1.01049342786524,3.69383956146596,0.99816907300703,1462
3,1.0045849071998,3.64615387662647,0.995882750073308,685
4,1.01308465696423,3.68995530861914,0.99024872206024,16
5,1.02456865459033,3.71841550686667,1.00220124638874,383
6,1.00917828653539,3.73253701004626,0.995607244914796,280
7,1.01761679039182,3.69569836037886,0.993162492507591,1597
8,1.01569438921884,3.69074303428482,0.996908826269556,673
9,1.01867238389345,3.68401868149109,0.998544238573245,168
10,1.01517800906727,3.70990539492998,0.990093982860407,1568
11,1.01538760499483,3.7028613301263,1.00012016665875,696
12,1.0182792907549,3.72768175271464,0.989413988129711,1617
13,1.00798397835463,3.68084659934963,0.994974914858525,1130
14,1.00768688135626,3.67437781392941,1.00081228164999,214
15,1.01597679045857,3.71939939585538,0.989895393414854,1257
16,1.01738967797636,3.73599784882138,0.994180942825134,312
17,1.00759935446766,3.73337579166155,0.999939707204105,508
18,1.01156832142047,3.71585668978549,0.999101064552239,941
19,1.0074685401236,3.74249971857685,1.00027385045082,340
20,1.0189571792605,3.68502837396306,0.995255186138756,139
21,1.01143654829079,3.72853511762133,0.996987269599979,54
22,1.02606190001153,3.66719409484492,1.00000024693384,501
23,1.01950293218191,3.69218761834133,0.99973808479989,329
24,1.01469349992302,3.67058117685332,0.993148848818864,707
25,1.02532308877438,3.70605708471585,0.995263287196138,269
26,1.01562897711886,3.72569742119656,0.997982000792165,1245
27,1.01620461044553,3.74908722546846,0.999073411768021,284
28,1.01247530639854,3.67066274254879,0.989368194188739,372
29,1.01663590280264,3.68210006490682,0.988704286220154,15
30,1.0112173672606,3.72124966534654,0.997518014613791,587
31,1.02073203172874,3.72298304963637,0.998195737031632,2126
32,1.01588417573708,3.71122866609135,1.00237544766673,1273
33,1.01679404628557,3.69446103020816,0.989165541033005,2576
34,0.998474495530375,3.70403816567652,0.988187051080467,1891
35,1.02978210233083,3.67677469704928,0.996420621868088,256
36,1.01884754839401,3.65438898788295,0.995045466914048,1516
37,1.02103298450977,3.69731892444029,0.989067621850589,172
38,1.00702006093178,3.73175581672299,0.99169126034205,251
39,1.01186125443718,3.72067850230703,1.00076816451633,782
40,1.02906402823363,3.70583855822926,0.993657314015785,698
41,1.01460811518339,3.71352220195915,0.995283853327269,254
42,1.02842252429477,3.70700824910255,0.997360639981496,992
43,1.02574611815845,3.74318374249582,0.985670159464534,267
44,1.02240301104697,3.7199898463255,0.988042511496336,158
45,1.01546359295829,3.7568524847231,1.00007602619804,58
46,1.02988587951868,3.71485965773367,0.994693305854143,358
47,1.0195270455264,3.71209615704161,0.992710596998388,821
48,1.01237111798035,3.65117311439507,0.991526885296726,602
49,1.01477021555093,3.69528392624054,0.991355355509704,130
50,1.00633364848753,3.72843735399333,0.988713390125224,47
51,1.01771717898004,3.72589803895193,0.989513480481095,611
52,1.00283817333894,3.72513927208278,0.999561157594233,1460
53,1.02227250420089,3.74445606451466,0.995192755791262,54
54,1.01978579027287,3.71468391116746,0.994494576725201,376
55,1.00633316622433,3.71312885205496,0.993707514308232,142
56,1.01318954510098,3.75320216262438,0.998028994945668,65
57,1.01999390380405,3.62791860034775,1.00643241785751,602
58,1.01201817010488,3.71989901268906,1.00795384593145,382
59,1.02046169835289,3.69984782408636,0.994472205784824,1331
60,1.01543047149042,3.69042280987894,1.00010386298184,910
61,1.01621111295824,3.68603614979225,0.993993292254063,1120
62,1.02135809308574,3.67048186281415,0.984803591426827,17
63,1.02047879927672,3.74726981475386,0.993504590662503,49
64,1.01870866500139,3.75829870195353,0.997797617922006,279
65,1.01572108191065,3.65078520955722,0.996281413321112,84
66,1.02843252318145,3.69493708604024,0.998761057525522,1006
67,1.01138943470531,3.69737815107316,0.996874750460734,1401
68,1.02508418101903,3.67272158915085,0.99341838198643,2016
69,1.02926705324742,3.74418072561055,1.00079707424261,514
70,1.01956103286448,3.7227190029976,0.997438724173131,217
71,1.00352809390314,3.73300525537844,0.992399004961106,519
72,1.00714200543928,3.70428346245788,0.997429411939346,875
73,1.01700243205986,3.72670619802436,0.996959304354722,587
74,1.01049936553869,3.72509138348637,0.991696108416366,117
75,1.03353271675305,3.6896694093436,0.999771393124099,867
76,1.01630129001593,3.6482832302446,0.996702902648849,635
77,1.0343433058583,3.67549802011583,0.998720725051196,940
78,1.0059426101488,3.69498631376524,1.0039182370962,445
79,1.006441702569,3.64539423130075,0.984212659969751,320
80,1.02422156291081,3.75349173509715,0.992510608398732,334
81,1.01977882963439,3.70130278652638,0.998899180395139,355
82,1.01233735945465,3.68085729970983,0.998159009065883,1090
83,1.01511248713893,3.74324449455206,1.00344118313895,946
84,1.00962593564025,3.71592696308262,0.994394151205282,260
85,1.00849270635468,3.73363341545474,0.994786633403827,839
86,1.01370173447316,3.71778506270521,0.986558352392853,1417
87,1.01640215882792,3.68651575855885,1.00161603611811,907
88,1.01413594802803,3.70443034260076,1.00154176602491,1712
89,1.00860484345331,3.7046792960361,1.00156891960591,168
90,1.01496201480299,3.68994773032434,0.999390672037692,691
91,1.01392192910358,3.72394664850833,0.99457432731848,231
92,1.01743644088472,3.71492989743132,0.998980926149539,1111
93,1.02606036845617,3.73161369088142,0.99295913399088,377
94,1.01480761855015,3.70762844516979,0.992557842917103,554
95,1.01770998992238,3.72674556193361,1.00437881861344,605
96,1.01374786652826,3.77569048596304,1.00183659844645,382
97,1.01843299201188,3.70565890377786,0.99251561760986,136
98,1.01713638189464,3.73743539874461,0.992972741319365,380
99,1.01752939571972,3.70431920440598,0.995633902362735,357
100,1.00424491936606,3.7152062572084,0.992002283895929,71
101,1.01044131124683,3.73287993552094,0.988484174265644,332
102,1.00709174689329,3.71463112991661,0.997929200872718,52
103,1.01299837867807,3.72347886863474,0.989087796034908,1429
104,1.02211899796785,3.7156147509527,0.991655457315605,1327
105,1.01432139720995,3.68082828537684,0.997753797930245,110
106,1.02411829758356,3.72029413381768,1.00464123142337,178
107,1.01094713937625,3.70063982196402,1.00280420223925,113
108,1.00608011466498,3.68606110579321,0.993688590781067,103
109,1.02164126323392,3.68694780790969,0.996636476228463,506
110,1.01154387152329,3.76537039077005,0.99258909001776,57
111,1.01637083323266,3.66916446542675,1.00592639091747,151
112,1.01888229745075,3.67995625777713,1.00353478249839,225
113,1.0022410851397,3.73466061833701,0.985340344700816,730
114,1.01484555223201,3.65139440236743,1.00087626749431,1228
115,1.02049713623882,3.71489618915274,0.997378699394546,1699
116,1.0151804727724,3.71636913546005,0.99231074059792,146
117,1.01484973790665,3.7394223195489,0.992924747150069,423
118,1.01343461911295,3.68975658317992,1.00612381509914,416
119,1.00415877061315,3.70526123424128,1.00265629525869,43
120,1.01268669272431,3.71590281082346,0.995066566282985,771
