"replicate","b1_unc","b2_unc","mu_unc","b1_mle","b2_mle","mu_mle","b1_qmle","b2_qmle","mu_qmle","n_tries"
1,1.14701859980777,3.18124405830606,0.994826684774168,1.13784156267955,3.21632132683714,0.996159474313081,1.13836136361542,3.21634237976206,0.995495904452921,575
2,1.04637097857301,3.61086662213602,1.00137570953486,0.98869066685799,3.8470204351992,1.00693037892852,0.989936489232167,3.84705844545125,1.00642337658622,634
3,1.04732022300317,3.48240181000434,0.99523945696861,0.979098531096773,3.77823541634736,1.0020294220704,0.977775269687994,3.77829521346103,1.00253048793351,841
4,1.03880478355013,3.61716371422711,0.99186465217562,0.993672453653818,3.80179733463152,0.996268807486258,0.993834963337337,3.80178799552246,0.996141136991419,343
5,1.03491173286291,3.58518346518575,1.00087303592847,0.974480606418233,3.83308204033007,1.00867289053762,0.946623049868766,3.95600926923571,1.01126706179342,71
6,1.06097271763767,3.46961596440035,0.997608252855228,1.00075822937081,3.72716316543288,1.00280053774474,1.02216165315448,3.63094371838767,1.00151575909701,423
7,1.06240285406701,3.48419748902001,0.998455215762093,0.99261895770395,3.78342251254833,1.00387725443606,1.01631451378849,3.67919281410367,1.00235624105582,11
8,1.1164651195266,3.22435838291776,0.991859155982356,1.09540721265833,3.31129090136784,0.993908727541151,1.09589421260498,3.31131546315952,0.993288371297116,18
9,1.04247818367168,3.51561857342404,0.986734433958022,0.97557818423873,3.79919872533356,0.991872194665986,1.00595418934016,3.66567031245389,0.990115750581618,88
10,1.07585036845407,3.46448428107736,1.00285295985105,1.02755936663452,3.66985105798682,1.00704377146278,1.02742013374384,3.66984569220906,1.00720424104601,50
11,1.09138166765812,3.19997101338569,0.99566025100541,1.0528028646653,3.36460208040418,0.999963482883845,1.05320391125152,3.36460900899523,0.999516498970885,218
12,1.02968501170031,3.6830105754309,1.00099686825823,0.962124076506335,3.96326338943511,1.0080060712279,0.961895186726216,3.96324763242014,1.00828529821552,205
13,1.03650981488654,3.54510417047573,0.997872963243081,0.978994767533911,3.77967713814503,1.00497959456045,0.979989731292311,3.77958916147085,1.00467267731067,305
14,1.02444711098602,3.67824808410788,0.989755060757298,0.964131225727631,3.92768612072764,0.995138085889665,0.964083460462413,3.92769809457155,0.995135924451088,385
15,1.10588551456362,3.26292863412429,0.996109980422643,1.08503296294228,3.34342601794907,0.998451984138465,1.08644241578205,3.34338569685856,0.99793932139146,15
16,1.10249913049374,3.24563398024896,0.999234522037666,1.05307697620392,3.46295584358234,1.0028935998891,1.05304846998919,3.46299694190506,1.00278050147914,45
17,1.04887359892991,3.64071603054155,0.997369289145049,0.992766783386408,3.87516550837356,1.00173908138715,0.992653967487565,3.87518684562008,1.00176715081345,971
18,1.05894760748077,3.44169956501726,0.992889575338967,1.01828485602565,3.60547428352476,0.997204458026615,1.01974230022824,3.60543670660171,0.996701691143267,70
19,1.03275560478229,3.62067291566735,0.985795130387371,0.986101328879689,3.81300443563435,0.989799990866396,0.985899928625767,3.81297869960974,0.990098444355715,239
20,1.04444927852098,3.58438918996194,0.992341850208552,1.00055086712478,3.7644896523371,0.996660797584211,0.978373831255072,3.86203146538529,0.998065892022608,217
